Player,Pos,Age,Tm,G,MP,FG,FGA,FGPct,ThreeP,ThreePA,ThreePPct,eFGPct,FT,FTA,FTPct,TRB,AST,STL,BLK,PTS
Steven Adams,C,26,OKC,63,26.7,4.5,7.6,0.592,0,0,0.333,0.593,1.9,3.2,0.582,9.3,2.3,0.8,1.1,10.9
Bam Adebayo,PF,22,MIA,72,33.6,6.1,11,0.557,0,0.2,0.143,0.558,3.7,5.3,0.691,10.2,5.1,1.1,1.3,15.9
LaMarcus Aldridge,C,34,SAS,53,33.1,7.4,15,0.493,1.2,3,0.389,0.532,3,3.6,0.827,7.4,2.4,0.7,1.6,18.9
Kyle Alexander,C,23,MIA,2,6.5,0.5,1,0.5,0,0,,0.5,0,0,,1.5,0,0,0,1
Nickeil Alexander-Walker,SG,21,NOP,47,12.6,2.1,5.7,0.368,1,2.8,0.346,0.455,0.5,0.8,0.676,1.8,1.9,0.4,0.2,5.7
Grayson Allen,SG,24,MEM,38,18.9,3.1,6.6,0.466,1.5,3.7,0.404,0.58,1,1.2,0.867,2.2,1.4,0.3,0.1,8.7
Jarrett Allen,C,21,BRK,70,26.5,4.3,6.6,0.649,0,0.1,0,0.649,2.4,3.9,0.633,9.6,1.6,0.6,1.3,11.1
Kadeem Allen,PG,27,NYK,10,11.7,1.9,4.4,0.432,0.5,1.6,0.313,0.489,0.7,1.1,0.636,0.9,2.1,0.5,0.2,5
Al-Farouq Aminu,PF,29,ORL,18,21.1,1.4,4.8,0.291,0.5,2,0.25,0.343,1.1,1.6,0.655,4.8,1.2,1,0.4,4.3
Justin Anderson,SG,26,BRK,10,10.7,1,3.8,0.263,0.6,2.9,0.207,0.342,0.2,0.4,0.5,2.1,0.8,0,0.6,2.8
Kyle Anderson,SF,26,MEM,67,19.9,2.3,4.9,0.474,0.4,1.3,0.282,0.511,0.8,1.2,0.667,4.3,2.4,0.8,0.6,5.8
Ryan Anderson,C,31,HOU,2,7,1,3.5,0.286,0.5,2.5,0.2,0.357,0,0,,3.5,1,0.5,0,2.5
Giannis Antetokounmpo,PF,25,MIL,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,0.589,6.3,10,0.633,13.6,5.6,1,1,29.5
Kostas Antetokounmpo,PF,22,LAL,5,4,0.6,0.6,1,0,0,,1,0.2,0.4,0.5,0.6,0.4,0,0,1.4
Thanasis Antetokounmpo,SF,27,MIL,20,6.5,1.2,2.4,0.5,0,0.5,0,0.5,0.4,0.9,0.412,1.2,0.8,0.4,0.1,2.8
Carmelo Anthony,PF,35,POR,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,0.485,2.3,2.8,0.845,6.3,1.5,0.8,0.5,15.4
OG Anunoby,SF,22,TOR,69,29.9,4.1,8.2,0.505,1.3,3.3,0.39,0.584,1,1.5,0.706,5.3,1.6,1.4,0.7,10.6
Ryan Arcidiacono,PG,25,CHI,58,16,1.6,3.8,0.409,0.9,2.4,0.391,0.532,0.5,0.7,0.711,1.9,1.7,0.5,0.1,4.5
Trevor Ariza,SF,34,POR,21,33.4,3.7,7.6,0.491,1.6,4,0.4,0.597,2,2.2,0.872,4.8,2,1.6,0.4,11
D.J. Augustin,PG,32,ORL,57,24.9,3.2,8.1,0.399,1.2,3.5,0.348,0.475,2.8,3.2,0.89,2.1,4.6,0.6,0,10.5
Deandre Ayton,C,21,PHO,38,32.5,8.2,14.9,0.546,0.1,0.3,0.231,0.548,1.8,2.3,0.753,11.5,1.9,0.7,1.5,18.2
Dwayne Bacon,SG,24,CHO,39,17.6,2.2,6.3,0.348,0.5,1.7,0.284,0.387,0.9,1.4,0.66,2.6,1.3,0.6,0.1,5.7
